,val_loss,val_acc,loss,acc
0,0.3023991247372968,0.8628571510314942,0.4436540946182681,0.8170731800903634
1,0.31258164399436544,0.8742857217788697,0.38021301839318944,0.852439032276956
2,0.3272357629202556,0.9200000047683716,0.29756493610755835,0.8670731782913208
3,0.404607815934079,0.8514285785811287,0.2925033615873672,0.9012195177194549
4,0.28962935085541436,0.8971428632736206,0.3147698101680413,0.9047619102565942
5,0.18570302464431312,0.9421965352372627,0.27618134785770077,0.9036585419643216
6,0.18334758257094239,0.954285717010498,0.23451466107011273,0.9231707359232554
7,0.2339293195400387,0.9200000047683716,0.23391449096429107,0.9230769276618958
8,0.3715120547584125,0.8857142925262451,0.27101932720511174,0.921951223800822
9,0.2952348414010235,0.8971428632736206,0.25613237312116816,0.9219512239825435
