,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,200.0,43.0,597.0,39.0,636.0,879.0
percent_group,0.8368200836820083,0.0671875,0.9328125,0.16317991631799164,0.7235494880546075,1.0
