,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,12.0,46.0,594.0,227.0,821.0,879.0
percent_group,0.0502092050209205,0.071875,0.928125,0.9497907949790795,0.9340159271899886,1.0
