,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,48.0,73.0,578.0,180.0,758.0,879.0
percent_group,0.21052631578947367,0.11213517665130568,0.8878648233486943,0.7894736842105263,0.8623435722411832,1.0
