,val_loss,val_acc,loss,acc
0,0.6186596240316119,0.6342857262917927,0.6115334686800474,0.7231707436645903
1,0.44332606068679264,0.8457142949104309,0.4885353319256044,0.7682926945570039
2,0.3485177341848612,0.8228571534156799,0.41019166195651563,0.7890244010018139
3,0.26913491482181207,0.8971428632736206,0.36393781314410906,0.8121951316914907
4,0.2765586110098021,0.8685714364051819,0.34805880409859574,0.8376068456669284
5,0.3644090854869671,0.872832377521978,0.3299345034362731,0.8707317144768995
6,0.2534172360386167,0.9028571486473084,0.3306242393307565,0.8803418866735093
7,0.29209939880030494,0.8800000071525573,0.3665288767589983,0.8756097626940507
8,0.22566348311125434,0.9485714316368103,0.2646369183018645,0.9024390302053312
9,0.1919927547752325,0.9314285755157471,0.2990674679939752,0.8890243964042606
