,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,101.0,27.0,613.0,138.0,751.0,879.0
percent_group,0.4225941422594142,0.0421875,0.9578125,0.5774058577405857,0.8543799772468714,1.0
