,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,237.0,2.0,638.0,2.0,640.0,879.0
percent_group,0.9916317991631799,0.003125,0.996875,0.008368200836820083,0.7281001137656428,1.0
