,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,63.0,534.0,117.0,165.0,282.0,879.0
percent_group,0.27631578947368424,0.8202764976958525,0.17972350230414746,0.7236842105263158,0.32081911262798635,1.0
