,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,16.0,44.0,607.0,212.0,819.0,879.0
percent_group,0.07017543859649122,0.06758832565284179,0.9324116743471582,0.9298245614035088,0.931740614334471,1.0
