,false_positive,false_negative,true_positive,true_negative,true_result,total
amount,37.0,123.0,517.0,202.0,719.0,879.0
percent_group,0.15481171548117154,0.1921875,0.8078125,0.8451882845188284,0.8179749715585893,1.0
